排名,方法,准确率,F1分数,方法类型
1,度量学习,0.8774891774891775,0.8771409987951341,few_shot_learning
2,原型网络,0.8584415584415584,0.8558316131425375,few_shot_learning
3,支持向量机,0.8580086580086579,0.854296563920624,traditional_ml
4,匹配网络,0.8389610389610389,0.8325639026260145,few_shot_learning
5,随机森林,0.7826839826839826,0.7580986738129595,traditional_ml
6,XGBoost,0.754978354978355,0.7468356635583525,traditional_ml
7,LightGBM,0.7367965367965368,0.7284579751971056,traditional_ml
8,决策树,0.6787878787878787,0.6721522756056917,traditional_ml
