方法,方法类型,交叉验证最佳准确率,交叉验证准确率,交叉验证准确率均值,交叉验证F1,交叉验证F1均值,准确率标准差,F1标准差,测试集准确率,过拟合差距,试验次数
度量学习,few_shot_learning,0.8774891774891775,"[0.8636363636363636, 0.8095238095238095, 0.8571428571428571, 0.9523809523809523, 0.9047619047619048]",0.8774891774891775,"[0.8640585420771179, 0.8092859521430951, 0.8552532123960697, 0.9528344671201814, 0.9042728202392067]",0.8771409987951341,0.04812014971979307,0.048415225095682884,,,100
原型网络,few_shot_learning,0.8584415584415584,"[0.8636363636363636, 0.8095238095238095, 0.8571428571428571, 0.9047619047619048, 0.8571428571428571]",0.8584415584415584,"[0.8623376623376623, 0.8015873015873017, 0.8552532123960697, 0.9021367521367522, 0.857843137254902]",0.8558316131425375,0.030228727705794094,0.03204160010418501,,,100
支持向量机,traditional_ml,0.8580086580086579,"[0.9090909090909091, 0.8095238095238095, 0.8095238095238095, 0.9047619047619048, 0.8571428571428571]",0.8580086580086579,"[0.9101010101010101, 0.8025149453720882, 0.8102453102453102, 0.8849206349206349, 0.8637009189640769]",0.854296563920624,0.043583421467197285,0.04186229998881939,0.7391304347826086,,100
匹配网络,few_shot_learning,0.8389610389610389,"[0.9090909090909091, 0.7619047619047619, 0.7619047619047619, 0.8571428571428571, 0.9047619047619048]",0.8389610389610389,"[0.9090909090909091, 0.734920634920635, 0.75929212264616, 0.8547539417104634, 0.9047619047619048]",0.8325639026260145,0.0655040011060701,0.07275203575854358,,,100
随机森林,traditional_ml,0.7826839826839826,"[0.8181818181818182, 0.6666666666666666, 0.6666666666666666, 0.9047619047619048, 0.8571428571428571]",0.7826839826839826,"[0.8131313131313131, 0.6231292517006802, 0.5955026455026454, 0.9015873015873016, 0.8571428571428571]",0.7580986738129595,0.0986177211268853,0.12496522817968617,0.8260869565217391,,100
XGBoost,traditional_ml,0.754978354978355,"[0.7272727272727273, 0.5238095238095238, 0.8095238095238095, 0.9047619047619048, 0.8095238095238095]",0.754978354978355,"[0.7222222222222222, 0.5093795093795093, 0.811111111111111, 0.8849206349206349, 0.8065448401582854]",0.7468356635583525,0.12852404858191172,0.1294258280995609,0.6956521739130435,,100
LightGBM,traditional_ml,0.7367965367965368,"[0.6363636363636364, 0.6190476190476191, 0.8095238095238095, 0.9047619047619048, 0.7142857142857143]",0.7367965367965368,"[0.625974025974026, 0.5915804002760525, 0.8084656084656084, 0.9059523809523808, 0.7103174603174602]",0.7284579751971056,0.10766608870448356,0.11616625508328263,0.6956521739130435,,100
决策树,traditional_ml,0.6787878787878787,"[0.7272727272727273, 0.6190476190476191, 0.7142857142857143, 0.6666666666666666, 0.6666666666666666]",0.6787878787878787,"[0.7222222222222222, 0.6067731440402248, 0.7113997113997114, 0.6536996336996337, 0.6666666666666666]",0.6721522756056917,0.0386616685052227,0.04169504410259729,0.6956521739130435,,100
